id,name,rating,review_count,address
QcpxI7Am6g6mc0D20w0Gng,Il Etait un Square,5.0,46,"54 rue Corvisart, 75013 Paris, France"
Lid_AmfnaJijqELbl5eiVQ,Le Cochon à l'Oreille,4.0,34,"15 rue Montmartre, les Halles, 75001 Paris, France"
meucEyvWlI__KCF9b1O3fg,Comme chez Maman,4.5,40,"5 rue des Moines, 75017 Paris, France"
5jviAXLXm5E78wlpE0pTxA,Iovine's,4.5,54,"7 bis rue du Colonel Driant, 75001 Paris, France"
ITciVbz4EDXKEo_mqDamHw,Le Bon Georges,4.5,62,"45 rue Saint-Georges, 75009 Paris, France"
w8i6UUhhAsb7whG1zhAqyQ,Au Bourguignon du Marais,4.0,112,"52 rue François Miron, 75004 Paris, France"
Owk4yii5YxmLuM3lnLjgNA,La Réserve de Quasimodo,4.5,15,"4 rue de la Colombe, 75004 Paris, France"
5oR_HYjo9dJUQCIr9jpzfw,Le Train Bleu,3.5,335,"Place Louis Armand, 1er étage, 75012 Paris, France"
J1uJVDBqr9SbXz0RnUG-tQ,Le Bistro V,5.0,26,"56 bd de Port-Royal, 75005 Paris, France"
4OEhHYGyNN5DIxpdSTUy_A,Restaurant le Meurice Alain Ducasse,4.0,91,"228 rue de Rivoli, 75001 Paris, France"
vf0SfwWuKbwmJJvtmzAKcg,Le Gabriel,5.0,19,"42 avenue Gabriel, 75008 Paris, France"
mcE6ghhQ9KCv_iZO6VF1bA,BREIZH Café Montorgueil | La Crêpe Autrement	,5.0,10,"14 rue des Petits Carreaux, 75002 Paris, France"
p3Ti_2bvhp4LqjSEFyZoag,Chez Monsieur,4.5,91,"11 rue Chevalier de Saint-George, 75008 Paris, France"
UOM40oa0nkZjzP5d7pmFzw,Bistrot Vivienne,4.0,70,"4 rue des Petits Champs, 75002 Paris, France"
l_eHenb80aEd0DS7C4hZWg,Chez France,4.5,43,"9 rue Amélie, 75007 Paris, France"
FKFUDUaDYDO8Xp9tqRZrBQ,San,5.0,3,"32 rue Coquillière, 75001 Paris, France"
luWgxwdQDUpURV21UlWslQ,Joséphine chez Dumonet,4.0,136,"117 rue du Cherche-Midi, 75006 Paris, France"
rznWa8_S5eU0vvDocgTGDg,Terra,4.5,6,"21 rue des Gravilliers, 75003 Paris, France"
dlFBHdXr7-_6vfB0C-EHvw,La Maison de la Truffe,4.5,103,"19 place de la Madeleine, 75008 Paris, France"
XZX3qBgUAcCYGNoIhHGq-g,Chez le Libanais,4.5,193,"35 et 36 rue Saint-André-des-Arts, 75006 Paris, France"
RpKOe8ImcDJCgrNL3nhJRQ,Le Bistrot des Halles,4.0,20,"15 rue des Halles, 75001 Paris, France"
3cNLpk5HmmnXptjwg-KN-w,Restaurant Mumi,4.0,7,"14 rue Sauval, 75001 Paris, France"
wHT9bUxQCGh_gFUXdC9Y_w,L'Imprimerie,4.0,49,"29 rue Coquillière, 75001 Paris, France"
P_mUlHo2-sl7xDJDb5yJQA,Aux Vieux Garçons,4.5,13,"213 bd St Germain, 75007 Paris, France"
JiOnwN1bQsT8sBUKs4qoKA,Firmine,4.0,482,"38 bis avenue de Suffren, 75015 Paris, France"
MN-I5rJBYAZwp2jeHXs_JQ,L'Alsacien,4.5,67,"6 rue Saint-Bon, 75004 Paris, France"
e5LklwRRUvp3_Mc1UfghgA,Le Tout Petit,4.0,23,"73 place du Docteur Félix Lobligeois, 75017 Paris, France"
ZF_HYFt1a1RlTPYqRht7wA,Grand Cœur,4.5,35,"41 rue du Temple, 75004 Paris, France"
TKwoBEzwLxOlkmsSgz6szQ,L'Assignat,4.0,12,"7 rue Guénégaud, 75006 Paris, France"
cTE0bsuIPGVbJ2Zph-69NA,Buzkashi,4.5,27,"7 rue des Dames, 75018 Paris, France"
npoBS0NsSvopMReMNUAszw,Le Mazenay,4.5,11,"46 rue de Montmorency, 75003 Paris, France"
rbBs01WKKsVZG61q5IwJ_w,Holybelly 5,4.5,295,"5 rue Lucien Sampaix, 75010 Paris, France"
7U2kAaO_PdsTzInfFDk5ag,Le Mermoz,5.0,2,"16 rue Jean Mermoz, 75008 Paris, France"
snqZMUD_7QynNpH_BJhrkw,Essaouira,4.5,56,"16 rue de Magdebourg, 75116 Paris, France"
